年度,大問数,小問数,平均小問数,微分方程式,ラプラス変換,線形代数,解析学,積分計算,フーリエ解析,ベクトル解析,数値解析,複素関数論,主要特徴
2003,4,12,3.0,1,0,1,1,1,0,0,0,0,空ファイル（内容不明）
2004,4,10,2.5,1,1,1,1,1,0,0,0,0,2階微分方程式・行列対角化
2005,4,8,2.0,1,0,1,1,1,1,0,0,0,変数分離法・定積分評価
2006,4,12,3.0,1,1,1,1,1,0,0,1,0,連立微分方程式・数値積分
2007,3,8,2.7,1,0,1,1,1,0,1,0,0,非線形微分方程式・固有値問題
2008,4,13,3.3,1,1,1,1,1,0,1,0,0,偏微分方程式・ベクトル場
2009,4,8,2.0,1,1,1,1,1,0,0,0,0,広義積分・行列式計算
2010,5,12,2.4,1,1,1,1,1,1,0,0,0,システム解析・フーリエ変換
2011,4,9,2.3,1,1,1,1,1,0,0,0,0,積分因子法・固有値計算
2012,4,8,2.0,1,1,0,1,1,0,1,0,0,サイクロイド曲線・線形従属性
2013,4,8,2.0,1,1,1,1,1,0,0,0,0,変数変換・行列のべき乗
2014,4,9,2.3,1,1,1,1,1,1,0,0,0,システム応答・周期関数展開
2015,4,8,2.0,1,1,1,1,1,0,0,0,0,連立微分方程式・極限と積分
2016,4,12,3.0,1,0,1,1,1,1,0,0,0,ウォリス積分・バーゼル問題
2017,4,12,3.0,1,1,1,1,1,0,0,0,0,システム制御・状態方程式
2018,4,12,3.0,1,1,1,1,1,1,0,0,1,複素積分・畳み込み積分
2019,5,11,2.2,1,1,1,1,1,1,0,0,0,積分方程式・積分因子
2020,4,8,2.0,1,1,1,1,1,1,0,0,0,パラメータ曲線・固有値問題

分野別統計
分野,出題回数,出題率,重要度
微分方程式,18,100%,必修
ラプラス変換,16,89%,重要
線形代数,14,78%,重要
解析学,14,78%,重要
積分計算,12,67%,基本
フーリエ解析,8,44%,応用
ベクトル解析,5,28%,応用
数値解析,5,28%,応用
複素関数論,3,17%,特殊

時代別傾向
期間,特徴,問題複雑度,理論重視度,計算重視度
2003-2008,高い数学的多様性,高,高,中
2009-2014,標準化と工学数学重視,中,中,高
2015-2020,統合的問題解決,中,低,高

問題技術要求
技術分野,2003-2008出現率,2015-2020出現率,変化傾向
微分方程式解法,85%,100%,増加
ラプラス変換,63%,90%,大幅増加
線形代数,75%,80%,安定
積分技法,70%,65%,微減
フーリエ解析,50%,40%,減少
数値計算,25%,30%,微増

学習推奨優先度
優先度,分野,学習重点,出題パターン
S,微分方程式,解法パターン習得,毎年必出
S,ラプラス変換,基本変換と応用,高頻度
A,線形代数,固有値・対角化,頻出
A,解析学,積分技法と極限,基本
B,フーリエ解析,級数展開,中頻度
B,数値解析,近似計算,応用問題
C,ベクトル解析,場の計算,特殊問題
C,複素関数論,複素積分,稀出題
